cap,case,cost,cost_ratio_to_oracle,finite,seed,variant
20,2,73170529.78412227,98971.73421349732,True,0,M3
20,2,72790335.49246353,98457.47678643542,True,1,M3
20,2,5219617.958431393,7060.146247430456,True,2,M3
20,2,38158479.49178716,51613.82460116965,True,3,M3
20,2,11019147.550622536,14904.691080645644,True,4,M3
20,3,17664.309926454152,279.93470828652687,True,0,M3
20,3,34041.11396566321,539.4656993339569,True,1,M3
20,3,34005.6297478651,538.9033640828519,True,2,M3
20,3,2743.936816276297,43.484469838848426,True,3,M3
20,3,37884.227654608694,600.3693470793895,True,4,M3
20,4,27966811.472300205,553686.662704218,True,0,M3
20,4,4099127.237160756,81154.48134627227,True,1,M3
20,4,3287418.0412001326,65084.27054505515,True,2,M3
20,4,6762616.258630878,133886.21120070253,True,3,M3
20,4,1827257.4758832098,36176.02581278084,True,4,M3
20,5,108442753.03483158,315587.6425261192,True,0,M3
20,5,212972805.40505207,619788.632241438,True,1,M3
20,5,220218649.0934701,640875.3223497767,True,2,M3
20,5,31447542.424883533,91517.92535109652,True,3,M3
20,5,97465348.42368832,283641.4483791178,True,4,M3
20,7,67379.12822936205,2337.312389814546,True,0,M3
20,7,1637.4572017680623,56.80169966662962,True,1,M3
20,7,12115.421794485672,420.2714729654295,True,2,M3
20,7,28144.78003675593,976.3133601934636,True,3,M3
20,7,10442.419292771772,362.2367435439436,True,4,M3
50,1,10059.078001824406,543.6340352297548,True,0,M3
50,1,1639.4663989775368,88.60352150943702,True,1,M3
50,1,3456.776092595801,186.81842766929208,True,2,M3
50,1,984.6490506124048,53.21449307505955,True,3,M3
50,1,1474.7224424001815,79.70007907886638,True,4,M3
50,2,67237202.65475865,90946.21249892669,True,0,M3
50,2,109242337.70850196,147763.0904743444,True,1,M3
50,2,5320983.982709029,7197.255699045526,True,2,M3
50,2,27233709.825801708,36836.79069263267,True,3,M3
50,2,21518524.19396212,29106.330970609877,True,4,M3
50,3,17711.51517412171,280.68279226435726,True,0,M3
50,3,103428.73084306771,1639.084216567061,True,1,M3
50,3,34891.088964895505,552.9356568047889,True,2,M3
50,3,1920.0356694743718,30.427717090102405,True,3,M3
50,3,36658.865098181814,580.9504447159928,True,4,M3
50,4,17222033.20604104,340961.64663886174,True,0,M3
50,4,3587123.7529580793,71017.84132415554,True,1,M3
50,4,3804137.7011954812,75314.28136984482,True,2,M3
50,4,6166804.060269127,122090.32706724937,True,3,M3
50,4,1124501.2590414325,22262.865037082218,True,4,M3
50,5,80703390.22211777,234861.17745353642,True,0,M3
50,5,137649621.89263758,400584.8104368595,True,1,M3
50,5,149381192.60330537,434725.76167699386,True,2,M3
50,5,41088407.55930279,119574.552599451,True,3,M3
50,5,115258998.96373643,335424.1269695785,True,4,M3
50,7,108060.5098912056,3748.507516431895,True,0,M3
50,7,9250.816942362955,320.90128832906043,True,1,M3
50,7,16520.74888289553,573.0877211940464,True,2,M3
50,7,48391.88526635361,1678.6645356186611,True,3,M3
50,7,23774.842008341006,824.7247219171228,True,4,M3
